index,type,question,answer_1,answer_2,answer_3,answer_4,answer
인덱스,문제타입,,보기1,보기2,보기3,보기4,정답
1,DIGITAL,"이것은 인터넷을 사용하는 네티즌들이 이메일 등의 다른 전파 가능한 매체를 활용하여 스스로 특정한 기업이나 특정 제품을 홍보하기 위해 다양한 것을 제작하여 널리 퍼지는 마케팅 기법으로, 마치 컴퓨터 바이러스처럼 확산된다고 하여 이러한 이름이 붙었다. 이것은 새로운 인터넷 광고 기법으로 주목받기 시작하였고, 해당 기업이 자신의 제품을 직접 홍보를 하지 아니하고, 소비자의 입에서 입으로 전해지는 광고라는 점에서 기존의 광고와는 차별성이 있다. 기존의 입소문 마케팅과 일맥상통하지만 전파하는 방식이 다른데, 입소문 마케팅은 정보의 제공자를 중심으로 메시지가 퍼져나가지만 이것은 정보 수용자를 중심으로 하여 퍼져나가는 특징이 있다. 이것은 무엇인가?",디마케팅(Demarketing),그로스 해킹(Growth Hacking),바이럴마케팅(Viral Marketing),노이즈 마케팅(Noise Marketing),ANSWER_1
2,DIGITAL,"다음에서 설명하는 것으로 알맞은 것을 고르시오. <br><br>「 이것은 사이버 공간의 특징 중 하나이며, 자신의 신분을 노출시키지 않고 활동할 수 있는 것을 말한다. 」",현실성,신속성,비대면성,익명성,ANSWER_4
3,DIGITAL,다음 중 컴퓨터의 5대 장치로 틀린 것을 고르시오.,입력장치,기억장치,해독장치,출력장치,ANSWER_3
4,DIGITAL,다음 중 운영체제의 운용 방식으로 알맞은 것은?,일괄 프로그래밍 시스템,다중 분할 시스템,분산 처리 시스템,실시간 모드 시스템,ANSWER_3
5,DIGITAL,다음 중 컴퓨터의 처리 능력에 따른 분류로 거리가 먼 것을 고르시오.,초대형 컴퓨터,미니 컴퓨터,범용 컴퓨터,개인용 컴퓨터,ANSWER_3
6,DIGITAL,다음에서 설명하는 것으로 알맞은 것은? <br><br>“이것은 사이버 범죄 중 하나이다. 특정 시스템에 대량 패킷을 보내 시스템에 과부하가 걸리도록 하여 시스템의 성능을 저하시키거나 서비스를 불능시키는 것을 말한다.”,DOS 공격,파밍,피싱,스푸핑,ANSWER_1
7,DIGITAL,다음 중 패스워드 관리에 대한 대책으로 틀린 것은?,패스워드는 주기적으로 변경하여 관리한다.,패스워드는 단순한 형태를 피한다.,패스워드는 암호화하여 그 내용을 알 수 없도록 한다.,패스워드는 기억하기 쉽게 핸드폰 번호나 생일을 이용한다.,ANSWER_4
8,DIGITAL,다음 중 애플사에서 개발한 모바일 운영체제는?,iOS,안드로이드,윈도우,심비안,ANSWER_1
9,DIGITAL,다음 중 음성 인터넷 프로토콜(VoIP)을 이용하여 소비자에게 음성 통신을 제공하는 시스템은?,Http,IPTV,IP전화,PACS,ANSWER_3
10,DIGITAL,다음 중 보조기억장치의 종류로 가장 거리가 먼 것은?,CD/DVD,DRAM,자기 테이프,SD 메모리,ANSWER_2
11,PYTHON,단일요소(값이 1개)를 가지는 튜플을 선언하는 방법 중 맞는 것은?,tu = 300,tu = (300),tu = [300],"tu = 300,",ANSWER_4
12,PYTHON,다음 함수에 대한 설명으로 올바르지 않은 것은?,지역변수는 함수 내부에서 선언되고 자신만 사용하는 변수를 의미한다.,전역변수는 함수보다 사전에 정의된 변수로 모든 함수들에서 공동으로 사용할 수 있다.,모듈은 함수들의 집합으로 서로 다른 폴더에 저장해도 된다.,"from 모듈명 import 함수명1, 함수명2와 같이 사용한다.",ANSWER_3
